start_time,lifespan,cores,job_id
14906,2601,1,21976_2
14906,2601,1,21976_3
14918,302,1,21994_1
14919,222,1,21996_1
14930,446,1,22022_1
14933,183,1,22026_1
14933,183,1,22026_2
14933,183,1,22026_3
14933,183,1,22026_4
15041,305,1,22126_1
15041,723,1,22129_1
15041,888,1,22132_1
15041,888,1,22132_2
15055,402,1,22138_1
15079,8046,1,22177_1
15144,200,1,22506_1
15144,200,1,22506_2
15148,325,1,22526_1
15148,344,1,22529_1
15148,384,1,22532_1
15162,214,1,22693_1
15173,582,1,22749_1
15173,582,1,22749_2
15254,230,1,22981_1
15256,365,1,22984_1
15256,365,1,22984_2
15256,508,1,22987_1
15256,508,1,22987_2
15256,590,1,22989_1
15256,590,1,22989_2
15256,186,1,23000_1
15258,226,1,23010_1
15319,212,1,23139_1
15389,238,1,23321_1
15417,311,1,23388_1
15427,289,1,23404_1
15427,350,1,23407_1
15457,292,1,23517_1
15457,292,1,23517_2
15457,292,1,23517_3
15457,292,1,23517_4
15457,293,1,23520_1
15457,293,1,23520_2
15457,293,1,23520_3
15457,293,1,23520_4
15457,293,1,23522_1
15457,293,1,23522_2
15457,293,1,23522_3
15457,293,1,23522_4
15458,291,1,23525_1
15458,291,1,23525_2
15458,291,1,23525_3
15458,291,1,23525_4
15485,400,1,23534_1
15488,247,1,23536_1
15488,247,1,23536_2
15488,247,1,23536_3
15488,247,1,23536_4
15488,247,1,23536_5
15488,247,1,23536_6
15488,371,1,23539_1
15488,446,1,23542_1
15488,936,1,23544_1
15498,751,1,23547_1
15498,751,1,23547_2
15498,751,1,23547_3
15498,751,1,23547_4
15505,396,1,23550_1
15505,663,1,23552_1
15513,652,1,23555_1
15513,652,1,23555_2
15513,652,1,23555_3
15516,410,1,23562_1
15518,232,1,23564_1
15518,232,1,23564_2
15518,232,1,23564_3
15518,232,1,23564_4
15518,400,1,23571_1
15518,320,1,23574_1
15518,1055,1,23576_1
15518,882,1,23579_1
15520,230,1,23582_1
15520,230,1,23582_2
15520,230,1,23582_3
15520,230,1,23582_4
15524,1075,1,23606_1
15524,607,1,23608_1
15524,255,1,23611_1
15524,437,1,23614_1
15524,945,1,23616_1
15530,220,1,23621_1
15530,220,1,23621_2
15530,220,1,23621_3
15530,220,1,23621_4
15533,217,1,23647_1
15533,217,1,23647_2
15533,217,1,23647_3
15533,217,1,23647_4
15593,211,1,23704_1
15593,474,1,23707_1
15615,699,1,23808_1
15616,655,1,23831_1
15623,1946,1,23849_1
15627,720,1,23889_1
15627,775,1,23892_1
15627,805,1,23895_1
15627,658,1,23897_1
15629,740,1,23902_1
15647,2195,1,23913_1
15647,389,1,23915_1
15651,1092,1,23918_1
15651,740,1,23921_1
15659,197,1,23923_1
15716,237,1,23956_1
15762,291,1,24008_1
15767,628,1,24010_1
15776,272,1,24013_1
15779,520,1,24016_1
15779,520,1,24016_2
15783,7435,1,24018_1
15796,269,1,24021_1
15805,309,1,24024_1
15816,532,1,24036_1
15823,370,1,24044_1
15871,314,1,24096_1
15906,646,1,24145_1
15923,240,1,24156_1
15931,457,1,24168_1
15939,275,1,24172_1
15939,356,1,24175_1
15939,1042,1,24178_1
15939,767,1,24180_1
15949,972,1,24214_1
15970,329,1,24241_1
15970,329,1,24241_2
15970,329,1,24241_3
15970,264,1,24243_1
15970,470,1,24246_1
15976,1100,1,24249_1
15976,1160,1,24251_1
15986,825,1,24254_1
15986,825,1,24254_2
15986,825,1,24254_3
15986,220,1,24257_1
15988,246,1,24262_1
15988,246,1,24262_2
15988,246,1,24262_3
15988,246,1,24262_4
15988,255,1,24267_1
15988,255,1,24267_2
15988,255,1,24267_3
15988,255,1,24267_4
15992,242,1,24277_1
15992,242,1,24277_2
15992,242,1,24277_3
15992,242,1,24277_4
16039,236,1,24317_1
16044,334,1,24320_1
16062,287,1,24331_1
16094,2185,1,24366_1
16131,881,1,24441_1
16134,264,1,24443_1
16136,415,1,24448_1
16136,415,1,24448_2
16136,415,1,24448_3
16136,389,1,24451_1
16136,630,1,24453_1
16150,2023,1,24486_1
16198,309,1,24524_1
16216,935,1,24529_1
16216,935,1,24529_2
16216,935,1,24529_3
16223,1397,1,24535_1
16223,975,1,24538_1
16223,810,1,24541_1
16339,866,1,24747_1
16342,864,1,24752_1
16352,562,1,24822_1
16352,792,1,24825_1
16357,722,1,24832_1
16369,18944,1,24844_1
16369,18944,1,24844_2
16378,727,1,24877_1
16651,1611,1,25788_1
16653,892,1,25795_1
16658,321,1,25800_1
16658,818,1,25803_1
16658,2209,1,25809_1
16660,753,1,25814_1
16663,1569,1,25823_1
